TABLE_NAME,COLUMN_NAME,TABLE_SCHEMA,TABLE_CATALOG,CONSTRAINT_NAME,ORDINAL_POSITION,CONSTRAINT_SCHEMA,CONSTRAINT_CATALOG,REFERENCED_TABLE_NAME,REFERENCED_COLUMN_NAME,REFERENCED_TABLE_SCHEMA,POSITION_IN_UNIQUE_CONSTRAINT
innodb_index_stats,database_name,mysql,def,PRIMARY,1,mysql,def,NULL,NULL,NULL,NULL
innodb_index_stats,table_name,mysql,def,PRIMARY,2,mysql,def,NULL,NULL,NULL,NULL
innodb_index_stats,index_name,mysql,def,PRIMARY,3,mysql,def,NULL,NULL,NULL,NULL
innodb_index_stats,stat_name,mysql,def,PRIMARY,4,mysql,def,NULL,NULL,NULL,NULL
time_zone_leap_second,Transition_time,mysql,def,PRIMARY,1,mysql,def,NULL,NULL,NULL,NULL
time_zone_name,Name,mysql,def,PRIMARY,1,mysql,def,NULL,NULL,NULL,NULL
proc,db,mysql,def,PRIMARY,1,mysql,def,NULL,NULL,NULL,NULL
proc,name,mysql,def,PRIMARY,2,mysql,def,NULL,NULL,NULL,NULL
proc,type,mysql,def,PRIMARY,3,mysql,def,NULL,NULL,NULL,NULL
help_keyword,help_keyword_id,mysql,def,PRIMARY,1,mysql,def,NULL,NULL,NULL,NULL
help_keyword,name,mysql,def,name,1,mysql,def,NULL,NULL,NULL,NULL
time_zone_transition_type,Time_zone_id,mysql,def,PRIMARY,1,mysql,def,NULL,NULL,NULL,NULL
time_zone_transition_type,Transition_type_id,mysql,def,PRIMARY,2,mysql,def,NULL,NULL,NULL,NULL
help_relation,help_keyword_id,mysql,def,PRIMARY,1,mysql,def,NULL,NULL,NULL,NULL
help_relation,help_topic_id,mysql,def,PRIMARY,2,mysql,def,NULL,NULL,NULL,NULL
roles_mapping,Host,mysql,def,Host,1,mysql,def,NULL,NULL,NULL,NULL
roles_mapping,User,mysql,def,Host,2,mysql,def,NULL,NULL,NULL,NULL
roles_mapping,Role,mysql,def,Host,3,mysql,def,NULL,NULL,NULL,NULL
innodb_table_stats,database_name,mysql,def,PRIMARY,1,mysql,def,NULL,NULL,NULL,NULL
innodb_table_stats,table_name,mysql,def,PRIMARY,2,mysql,def,NULL,NULL,NULL,NULL
user,Host,mysql,def,PRIMARY,1,mysql,def,NULL,NULL,NULL,NULL
user,User,mysql,def,PRIMARY,2,mysql,def,NULL,NULL,NULL,NULL
help_topic,help_topic_id,mysql,def,PRIMARY,1,mysql,def,NULL,NULL,NULL,NULL
help_topic,name,mysql,def,name,1,mysql,def,NULL,NULL,NULL,NULL
servers,Server_name,mysql,def,PRIMARY,1,mysql,def,NULL,NULL,NULL,NULL
time_zone_transition,Time_zone_id,mysql,def,PRIMARY,1,mysql,def,NULL,NULL,NULL,NULL
time_zone_transition,Transition_time,mysql,def,PRIMARY,2,mysql,def,NULL,NULL,NULL,NULL
help_category,help_category_id,mysql,def,PRIMARY,1,mysql,def,NULL,NULL,NULL,NULL
help_category,name,mysql,def,name,1,mysql,def,NULL,NULL,NULL,NULL
column_stats,db_name,mysql,def,PRIMARY,1,mysql,def,NULL,NULL,NULL,NULL
column_stats,table_name,mysql,def,PRIMARY,2,mysql,def,NULL,NULL,NULL,NULL
column_stats,column_name,mysql,def,PRIMARY,3,mysql,def,NULL,NULL,NULL,NULL
db,Host,mysql,def,PRIMARY,1,mysql,def,NULL,NULL,NULL,NULL
db,Db,mysql,def,PRIMARY,2,mysql,def,NULL,NULL,NULL,NULL
db,User,mysql,def,PRIMARY,3,mysql,def,NULL,NULL,NULL,NULL
tables_priv,Host,mysql,def,PRIMARY,1,mysql,def,NULL,NULL,NULL,NULL
tables_priv,Db,mysql,def,PRIMARY,2,mysql,def,NULL,NULL,NULL,NULL
tables_priv,User,mysql,def,PRIMARY,3,mysql,def,NULL,NULL,NULL,NULL
tables_priv,Table_name,mysql,def,PRIMARY,4,mysql,def,NULL,NULL,NULL,NULL
procs_priv,Host,mysql,def,PRIMARY,1,mysql,def,NULL,NULL,NULL,NULL
procs_priv,Db,mysql,def,PRIMARY,2,mysql,def,NULL,NULL,NULL,NULL
procs_priv,User,mysql,def,PRIMARY,3,mysql,def,NULL,NULL,NULL,NULL
procs_priv,Routine_name,mysql,def,PRIMARY,4,mysql,def,NULL,NULL,NULL,NULL
procs_priv,Routine_type,mysql,def,PRIMARY,5,mysql,def,NULL,NULL,NULL,NULL
func,name,mysql,def,PRIMARY,1,mysql,def,NULL,NULL,NULL,NULL
index_stats,db_name,mysql,def,PRIMARY,1,mysql,def,NULL,NULL,NULL,NULL
index_stats,table_name,mysql,def,PRIMARY,2,mysql,def,NULL,NULL,NULL,NULL
index_stats,index_name,mysql,def,PRIMARY,3,mysql,def,NULL,NULL,NULL,NULL
index_stats,prefix_arity,mysql,def,PRIMARY,4,mysql,def,NULL,NULL,NULL,NULL
transaction_registry,transaction_id,mysql,def,PRIMARY,1,mysql,def,NULL,NULL,NULL,NULL
transaction_registry,commit_id,mysql,def,commit_id,1,mysql,def,NULL,NULL,NULL,NULL
proxies_priv,Host,mysql,def,PRIMARY,1,mysql,def,NULL,NULL,NULL,NULL
proxies_priv,User,mysql,def,PRIMARY,2,mysql,def,NULL,NULL,NULL,NULL
proxies_priv,Proxied_host,mysql,def,PRIMARY,3,mysql,def,NULL,NULL,NULL,NULL
proxies_priv,Proxied_user,mysql,def,PRIMARY,4,mysql,def,NULL,NULL,NULL,NULL
gtid_slave_pos,domain_id,mysql,def,PRIMARY,1,mysql,def,NULL,NULL,NULL,NULL
gtid_slave_pos,sub_id,mysql,def,PRIMARY,2,mysql,def,NULL,NULL,NULL,NULL
table_stats,db_name,mysql,def,PRIMARY,1,mysql,def,NULL,NULL,NULL,NULL
table_stats,table_name,mysql,def,PRIMARY,2,mysql,def,NULL,NULL,NULL,NULL
columns_priv,Host,mysql,def,PRIMARY,1,mysql,def,NULL,NULL,NULL,NULL
columns_priv,Db,mysql,def,PRIMARY,2,mysql,def,NULL,NULL,NULL,NULL
columns_priv,User,mysql,def,PRIMARY,3,mysql,def,NULL,NULL,NULL,NULL
columns_priv,Table_name,mysql,def,PRIMARY,4,mysql,def,NULL,NULL,NULL,NULL
columns_priv,Column_name,mysql,def,PRIMARY,5,mysql,def,NULL,NULL,NULL,NULL
plugin,name,mysql,def,PRIMARY,1,mysql,def,NULL,NULL,NULL,NULL
event,db,mysql,def,PRIMARY,1,mysql,def,NULL,NULL,NULL,NULL
event,name,mysql,def,PRIMARY,2,mysql,def,NULL,NULL,NULL,NULL
time_zone,Time_zone_id,mysql,def,PRIMARY,1,mysql,def,NULL,NULL,NULL,NULL
host,Host,mysql,def,PRIMARY,1,mysql,def,NULL,NULL,NULL,NULL
host,Db,mysql,def,PRIMARY,2,mysql,def,NULL,NULL,NULL,NULL

